Marke Beschreibung;Artikelkategorie Beschreibung;Artikeltyp Beschreibung;Artikelnr.;Kred.- Artikelnr.;Farbsaison2;Beschreibung;Kreditorfarbcode;Kreditor Farbtext;Grösse;Lagerort Code;Filialendbestand;NOS Griffeinheit;Mindestbestellmenge;Aktueller Sollbestand;Datum erster Wareneingang;Letztes WE Datum;VK-Preis aktuell;September 2023;Absatz 1 Jahr;Absatz Schnitt Monat;Reichweite in Monaten;August 2023;Juli 2023;Juni 2023;Mai 2023;April 2023;März 2023;Februar 2023;Januar 2023;Dezember 2022;November 2022;Oktober 2022;September 2022
NARS;Maquillage Make-Up;Highlighter;ARTI10251935;34105222101;9999;LIGHT SCULPTING;003;FORT DE FRANCE;KEINEGRÖßE;101;2;0;3;6;12.04.21;03.05.23;58.9;0;22;1.833333333;1.090909091;2;4;0;0;1;1;1;3;3;4;2;1
NARS;Maquillage Make-Up;Make-Up flüssig;ARTI10254489;34104854101;9999;SHEER GLOW FOUNDATION;023;SALZBURG;OS;101;5;1;3;3;04.06.21;03.05.23;77.9;0;10;0.833333333;6;0;1;1;0;2;1;1;0;2;0;1;1
NARS;Maquillage Make-Up;Make-Up flüssig;ARTI10254490;34104877101;9999;SHEER GLOW FOUNDATION;035;MANAUS;OS;101;5;1;3;3;15.05.23;15.05.23;77.9;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0
NARS;Maquillage Make-Up;Make-Up flüssig;ARTI10254494;34104856101;9999;SHEER GLOW FOUNDATION;024;VIENNA;OS;101;7;1;3;6;03.05.21;21.02.23;77.9;0;9;0.75;9.333333333;0;1;0;0;0;0;1;1;4;0;1;1
NARS;Maquillage Make-Up;Make-Up flüssig;ARTI10254495;34104862101;9999;SHEER GLOW FOUNDATION;026;SAHEL;OS;101;3;1;3;3;04.11.21;26.06.23;77.9;0;5;0.416666667;7.2;0;2;1;0;0;1;0;0;0;0;1;0
NARS;Maquillage Make-Up;Make-Up flüssig;ARTI10254500;34104859101;9999;SHEER GLOW FOUNDATION;025;PATAGONIA;OS;101;4;1;3;3;23.08.21;10.03.23;77.9;0;7;0.583333333;6.857142857;0;0;0;0;0;1;1;0;0;3;2;0
NARS;Maquillage Make-Up;Make-Up flüssig;ARTI10254501;34104871101;9999;SHEER GLOW FOUNDATION;031;HUAHINE;OS;101;3;1;3;3;15.05.23;15.05.23;77.9;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0
NARS;Maquillage Make-Up;Make-Up flüssig;ARTI10254502;34104879101;9999;SHEER GLOW FOUNDATION;037;IGUACU;OS;101;3;1;3;3;31.01.21;31.01.21;77.9;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0
NARS;Maquillage Make-Up;Make-Up flüssig;ARTI10254522;34104852101;9999;SHEER GLOW FOUNDATION;022;YUKON;OS;101;5;1;3;3;09.03.21;28.08.23;77.9;0;7;0.583333333;8.571428571;1;0;0;1;0;2;0;0;0;1;2;0
NARS;Maquillage Make-Up;Make-Up flüssig;ARTI10254523;34104866101;9999;SHEER GLOW FOUNDATION;028;VALENCIA;OS;101;6;1;3;3;21.05.21;27.03.23;77.9;0;2;0.166666667;36;0;1;0;0;0;1;0;0;0;0;0;0
NARS;Maquillage Make-Up;Make-Up flüssig;ARTI10254525;34104881101;9999;SHEER GLOW FOUNDATION;039;ZAMBIE;OS;101;3;1;3;3;13.10.21;13.10.21;77.9;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0
NARS;Maquillage Make-Up;Make-Up flüssig;ARTI10254527;34104870101;9999;SHEER GLOW FOUNDATION;030;MOOREA;OS;101;3;1;3;3;18.09.21;15.05.23;77.9;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0
NARS;Maquillage Make-Up;Make-Up flüssig;ARTI10254528;34104876101;9999;SHEER GLOW FOUNDATION;034;MARQUISES;OS;101;3;1;3;3;21.05.21;15.05.23;77.9;0;1;0.083333333;36;0;0;0;0;0;0;0;0;0;0;1;0
NARS;Maquillage Make-Up;Make-Up flüssig;ARTI10254529;34104878101;9999;SHEER GLOW FOUNDATION;036;NEW CALEDONIA;OS;101;3;1;3;3;14.09.21;14.09.21;77.9;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0
NARS;Maquillage Make-Up;Make-Up flüssig;ARTI10254547;34104873101;9999;SHEER GLOW FOUNDATION;032;CARACAS;OS;101;4;1;3;3;15.05.23;15.05.23;77.9;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0
NARS;Maquillage Make-Up;Make-Up flüssig;ARTI10254548;34104880101;9999;SHEER GLOW FOUNDATION;038;NAMIBIA;OS;101;4;1;3;3;31.01.21;31.01.21;77.9;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0
NARS;Maquillage Make-Up;Make-Up flüssig;ARTI10254550;34104850101;9999;SHEER GLOW FOUNDATION;021;OSLO;OS;101;5;1;3;3;20.04.22;26.06.23;77.9;0;4;0.333333333;15;0;0;1;0;0;0;1;1;1;0;0;0
